"link-dtw-prod href","img-dtw-prod src","card-dtw-subtitulo","card-dtw-preco-dolar","card-dtw-codigo-lista","card-dtw-preco-real","card-dtw-preco-guarani"
"https://www.visaovip.com/produto/notebook/notebook-lenovo-v15-g2-ijl-intel-celeron-n4500-pantalla-full-hd-15-6-4gb-de-ram-256gb-ssd-negro-82qy00phak-ingles/54380","https://www.visaovip.com/imagem/notebook/notebook-lenovo-v15-g2-ijl-intel-celeron-n4500-pantalla-full-hd-15-6-4gb-de-ram-256gb-ssd-negro-82qy00phak-ingles/1/54380?pfdrid_c=true","Notebook Lenovo V15 G2 IJL Intel Celeron N4500 Pantalla Full HD 15.6"" / 4GB de RAM / 256GB SSD - Negro (82QY00PHAK) (Inglés)","U$ 255,00","Cód.: 54380","R$ 1.425,45","G$ 1.861.500"
"https://www.visaovip.com/produto/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-azul-10pdi002282-ingles/54379","https://www.visaovip.com/imagem/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-azul-10pdi002282-ingles/1/54379?pfdrid_c=true","Notebook HP 15T-FD000 Intel Core i7 1355U Pantalla Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Azul (10PDI002282) (Inglés)","U$ 540,00","Cód.: 54379","R$ 3.018,60","G$ 3.942.000"
"https://www.visaovip.com/produto/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-negro-10pdi002160-ingles/54378","https://www.visaovip.com/imagem/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-negro-10pdi002160-ingles/1/54378?pfdrid_c=true","Notebook HP 15T-FD000 Intel Core i7 1355U Pantalla Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Negro (10PDI002160) (Inglés)","U$ 537,00","Cód.: 54378","R$ 3.001,83","G$ 3.920.100"
"https://www.visaovip.com/produto/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-blanco-10pdi002279-ingles/54376","https://www.visaovip.com/imagem/notebook/notebook-hp-15t-fd000-intel-core-i7-1355u-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-blanco-10pdi002279-ingles/1/54376?pfdrid_c=true","Notebook HP 15T-FD000 Intel Core i7 1355U Pantalla Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Blanco (10PDI002279) (Inglés)","U$ 540,00","Cód.: 54376","R$ 3.018,60","G$ 3.942.000"
"https://www.visaovip.com/produto/notebook/notebook-gamer-alieware-16-aurora-ac16250-intel-core-7-240h-pantalla-qhd-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-azul-ingles/54295","https://www.visaovip.com/imagem/notebook/notebook-gamer-alieware-16-aurora-ac16250-intel-core-7-240h-pantalla-qhd-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-azul-ingles/1/54295?pfdrid_c=true","Notebook Gamer Alieware 16 Aurora AC16250 Intel Core 7 240H Pantalla QHD 16.0"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX5050 8GB - Azul  (Inglés)","U$ 1.130,00","Cód.: 54295","R$ 6.316,70","G$ 8.249.000"
"https://www.visaovip.com/produto/notebook/notebook-hp-15-fd0113dx-intel-core-i3-n305-pantalla-hd-15-6-8gb-de-ram-128gb-ufs-win11home-plata-ingles/54268","https://www.visaovip.com/imagem/notebook/notebook-hp-15-fd0113dx-intel-core-i3-n305-pantalla-hd-15-6-8gb-de-ram-128gb-ufs-win11home-plata-ingles/1/54268?pfdrid_c=true","Notebook HP 15-FD0113DX Intel Core i3 N305 Pantalla HD 15.6"" / 8GB de RAM / 128GB UFS / Win11Home - Plata (Inglés)","U$ 308,00","Cód.: 54268","R$ 1.721,72","G$ 2.248.400"
"https://www.visaovip.com/produto/notebook/notebook-acer-aspire-go-15-ag15-21pt-r5gq-amd-ryzen-5-7520u-pantalla-full-hd-15-6-8gb-de-ram-512gb-ssd-win11home-pure-plata-ingles/54266","https://www.visaovip.com/imagem/notebook/notebook-acer-aspire-go-15-ag15-21pt-r5gq-amd-ryzen-5-7520u-pantalla-full-hd-15-6-8gb-de-ram-512gb-ssd-win11home-pure-plata-ingles/1/54266?pfdrid_c=true","Notebook Acer Aspire Go 15 AG15-21PT-R5GQ AMD Ryzen 5 7520U Pantalla Full HD 15.6"" / 8GB de RAM / 512GB SSD / Win11Home - Pure Plata (Inglés)","U$ 373,00","Cód.: 54266","R$ 2.085,07","G$ 2.722.900"
"https://www.visaovip.com/produto/notebook/notebook-gamer-asus-tuf-f17-fx707vv-hx226w-intel-core-i7-13620h-pantalla-full-hd-17-3-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4060-8gb-mecha-gris-ingles/54218","https://www.visaovip.com/imagem/notebook/notebook-gamer-asus-tuf-f17-fx707vv-hx226w-intel-core-i7-13620h-pantalla-full-hd-17-3-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4060-8gb-mecha-gris-ingles/1/54218?pfdrid_c=true","Notebook Gamer ASUS TUF F17 FX707VV-HX226W Intel Core i7 13620H Pantalla Full HD 17.3"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX4060 8GB - Mecha Gris (Inglés)","U$ 1.245,00","Cód.: 54218","R$ 6.959,55","G$ 9.088.500"
"https://www.visaovip.com/produto/notebook/notebook-gamer-rog-strix-g16-g615jmr-ds94-intel-core-i9-14900hx-pantalla-wuxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-eclipse-gris-ingles/54217","https://www.visaovip.com/imagem/notebook/notebook-gamer-rog-strix-g16-g615jmr-ds94-intel-core-i9-14900hx-pantalla-wuxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-eclipse-gris-ingles/1/54217?pfdrid_c=true","Notebook Gamer ROG Strix G16 G615JMR-DS94 Intel Core i9 14900HX Pantalla WUXGA 16.0"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5060 8GB - Eclipse Gris (Inglés)","","Cód.: 54217","R$ 9.491,82","G$ 12.395.400"
"https://www.visaovip.com/produto/notebook/notebook-gamer-rog-strix-g16-g614fp-rv010w-amd-ryzen-9-9955hx-pantalla-wuxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-eclipse-gris-ingles/54214","https://www.visaovip.com/imagem/notebook/notebook-gamer-rog-strix-g16-g614fp-rv010w-amd-ryzen-9-9955hx-pantalla-wuxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-eclipse-gris-ingles/1/54214?pfdrid_c=true","Notebook Gamer ROG Strix G16 G614FP-RV010W AMD Ryzen 9 9955HX Pantalla WUXGA 16.0"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070 8GB - Eclipse Gris (Inglés)","U$ 1.869,00","Cód.: 54214","R$ 10.447,71","G$ 13.643.700"
"https://www.visaovip.com/produto/notebook/notebook-asus-vivobook-s16-m5606ka-ps77-amd-ryzen-ai-7-350-pantalla-oled-16-0-24gb-de-ram-1tb-ssd-win11home-neutral-negro-ingles/54193","https://www.visaovip.com/imagem/notebook/notebook-asus-vivobook-s16-m5606ka-ps77-amd-ryzen-ai-7-350-pantalla-oled-16-0-24gb-de-ram-1tb-ssd-win11home-neutral-negro-ingles/1/54193?pfdrid_c=true","Notebook ASUS Vivobook S16 M5606KA-PS77 AMD Ryzen AI 7 350 Pantalla OLED 16.0"" / 24GB de RAM / 1TB SSD / Win11Home - Neutral Negro (Inglés)","U$ 1.115,00","Cód.: 54193","R$ 6.232,85","G$ 8.139.500"
"https://www.visaovip.com/produto/notebook/notebook-asus-vivobook-s-14-m5406wa-bs99-amd-ryzen-ai-9-hx-370-pantalla-oled-14-0-32gb-de-ram-1tb-ssd-neutral-negro-ingles/54192","https://www.visaovip.com/imagem/notebook/notebook-asus-vivobook-s-14-m5406wa-bs99-amd-ryzen-ai-9-hx-370-pantalla-oled-14-0-32gb-de-ram-1tb-ssd-neutral-negro-ingles/1/54192?pfdrid_c=true","Notebook ASUS Vivobook S 14 M5406WA-BS99 AMD Ryzen AI 9 HX 370 Pantalla OLED 14.0"" / 32GB de RAM / 1TB SSD - Neutral Negro (Inglés)","U$ 1.239,00","Cód.: 54192","R$ 6.926,01","G$ 9.044.700"
"https://www.visaovip.com/produto/notebook/notebook-asus-vivobook-pro-15-n6506cu-ma040w-intel-core-ultra-9-285h-pantalla-oled-15-6-24gb-de-ram-1tb-ssd-geforce-rtx4050-6gb-earl-gris-ingles/54191","https://www.visaovip.com/imagem/notebook/notebook-asus-vivobook-pro-15-n6506cu-ma040w-intel-core-ultra-9-285h-pantalla-oled-15-6-24gb-de-ram-1tb-ssd-geforce-rtx4050-6gb-earl-gris-ingles/1/54191?pfdrid_c=true","Notebook ASUS Vivobook Pro 15 N6506CU-MA040W Intel Core Ultra 9 285H Pantalla OLED 15.6"" / 24GB de RAM / 1TB SSD / GeForce RTX4050 6GB - Earl Gris (Inglés)","U$ 1.515,00","Cód.: 54191","R$ 8.468,85","G$ 11.059.500"
"https://www.visaovip.com/produto/notebook/notebook-gamer-hp-omen-16-slim-16-an0119nr-intel-core-ultra-9-285h-pantalla-wqxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-negro-ingles/54158","https://www.visaovip.com/imagem/notebook/notebook-gamer-hp-omen-16-slim-16-an0119nr-intel-core-ultra-9-285h-pantalla-wqxga-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-negro-ingles/1/54158?pfdrid_c=true","Notebook Gamer HP OMEN 16 Slim 16-AN0119NR Intel Core Ultra 9 285H Pantalla WQXGA 16.0"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070 8GB - Negro (Inglés)","","Cód.: 54158","R$ 9.497,41","G$ 12.402.700"
"https://www.visaovip.com/produto/notebook/notebook-lenovo-ideapad-slim-3-15ian8-intel-core-i3-n305-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-abyss-azul-82xb00bmus-ingles/54155","https://www.visaovip.com/imagem/notebook/notebook-lenovo-ideapad-slim-3-15ian8-intel-core-i3-n305-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-abyss-azul-82xb00bmus-ingles/1/54155?pfdrid_c=true","Notebook Lenovo IdeaPad Slim 3 15IAN8 Intel Core i3 N305 Pantalla Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Abyss Azul (82XB00BMUS) (Inglés)","U$ 325,00","Cód.: 54155","R$ 1.816,75","G$ 2.372.500"
"https://www.visaovip.com/produto/notebook/notebook-gamer-asus-tuf-f16-fx608jhr-es73-intel-core-i7-14650hx-pantalla-wuxga-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-jaeger-gris-ingles/54152","https://www.visaovip.com/imagem/notebook/notebook-gamer-asus-tuf-f16-fx608jhr-es73-intel-core-i7-14650hx-pantalla-wuxga-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-jaeger-gris-ingles/1/54152?pfdrid_c=true","Notebook Gamer ASUS TUF F16 FX608JHR-ES73 Intel Core i7 14650HX Pantalla WUXGA 16.0"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX5050 8GB - Jaeger Gris (Inglés)","U$ 1.305,00","Cód.: 54152","R$ 7.294,95","G$ 9.526.500"
"https://www.visaovip.com/produto/notebook/notebook-lenovo-v15-g4-iru-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-1tb-ssd-win11home-business-negro-83cc002hus-ingles/54151","https://www.visaovip.com/imagem/notebook/notebook-lenovo-v15-g4-iru-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-1tb-ssd-win11home-business-negro-83cc002hus-ingles/1/54151?pfdrid_c=true","Notebook Lenovo V15 G4 IRU Intel Core i7 13620H Pantalla Full HD 15.6"" / 16GB de RAM / 1TB SSD / Win11Home - Business Negro (83CC002HUS) (Inglés)","U$ 589,00","Cód.: 54151","R$ 3.292,51","G$ 4.299.700"
"https://www.visaovip.com/produto/notebook/notebook-acer-aspire-3-a325-45-intel-celeron-n4500-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-plata-ingles/54150","https://www.visaovip.com/imagem/notebook/notebook-acer-aspire-3-a325-45-intel-celeron-n4500-pantalla-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-plata-ingles/1/54150?pfdrid_c=true","Notebook Acer Aspire 3 A325-45 Intel Celeron N4500 Pantalla Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Plata (Inglés)","U$ 260,00","Cód.: 54150","R$ 1.453,40","G$ 1.898.000"
"https://www.visaovip.com/produto/notebook/notebook-gamer-acer-predator-helios-neo-16s-ai-phn16s-71-91aw-intel-core-ultra-9-275hx-pantalla-oled-16-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-obsidian-negro-ingles/54148","https://www.visaovip.com/imagem/notebook/notebook-gamer-acer-predator-helios-neo-16s-ai-phn16s-71-91aw-intel-core-ultra-9-275hx-pantalla-oled-16-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-obsidian-negro-ingles/1/54148?pfdrid_c=true","Notebook Gamer Acer Predator Helios Neo 16S AI PHN16S-71-91AW Intel Core Ultra 9 275HX Pantalla OLED 16"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5060 8GB - Obsidian Negro (Inglés)","U$ 1.539,00","Cód.: 54148","R$ 8.603,01","G$ 11.234.700"
"https://www.visaovip.com/produto/notebook/notebook-gamer-msi-cyborg-15-b2rwfkg-259us-intel-core-7-240h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5060-8gb-translucent-negro-ingles/54147","https://www.visaovip.com/imagem/notebook/notebook-gamer-msi-cyborg-15-b2rwfkg-259us-intel-core-7-240h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5060-8gb-translucent-negro-ingles/1/54147?pfdrid_c=true","Notebook Gamer MSI Cyborg 15 B2RWFKG-259US Intel Core 7 240H Pantalla Full HD 15.6"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX5060 8GB - Translucent Negro (Inglés)","U$ 1.379,00","Cód.: 54147","R$ 7.708,61","G$ 10.066.700"
"https://www.visaovip.com/produto/notebook/notebook-asus-vivobook-15-f1504va-bs51t-intel-core-i5-1334u-pantalla-touch-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-quiet-azul-ingles/54145","https://www.visaovip.com/imagem/notebook/notebook-asus-vivobook-15-f1504va-bs51t-intel-core-i5-1334u-pantalla-touch-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-quiet-azul-ingles/1/54145?pfdrid_c=true","Notebook ASUS Vivobook 15 F1504VA-BS51T Intel Core i5 1334U Pantalla Touch Full HD 15.6"" / 16GB de RAM / 512GB SSD / Win11Home - Quiet Azul (Inglés)","U$ 586,00","Cód.: 54145","R$ 3.275,74","G$ 4.277.800"
"https://www.visaovip.com/produto/notebook/notebook-dell-15-dc15255-amd-ryzen-3-7320u-pantalla-full-hd-15-6-8gb-de-ram-512gb-ssd-win11home-carbon-negro-ingles/54053","https://www.visaovip.com/imagem/notebook/notebook-dell-15-dc15255-amd-ryzen-3-7320u-pantalla-full-hd-15-6-8gb-de-ram-512gb-ssd-win11home-carbon-negro-ingles/1/54053?pfdrid_c=true","Notebook Dell 15 DC15255 AMD Ryzen 3 7320U Pantalla Full HD 15.6"" / 8GB de RAM / 512GB SSD / Win11Home - Carbon Negro (Inglés)","U$ 333,00","Cód.: 54053","R$ 1.861,47","G$ 2.430.900"
"https://www.visaovip.com/produto/notebook/notebook-gamer-hp-omen-16-slim-16-an0075cl-intel-core-ultra-9-285h-pantalla-2k-16-0-32gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-negro-ingles/54051","https://www.visaovip.com/imagem/notebook/notebook-gamer-hp-omen-16-slim-16-an0075cl-intel-core-ultra-9-285h-pantalla-2k-16-0-32gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-negro-ingles/1/54051?pfdrid_c=true","Notebook Gamer HP OMEN 16 Slim 16-AN0075CL Intel Core Ultra 9 285H Pantalla 2K 16.0"" / 32GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070 8GB - Negro (Inglés)","U$ 1.940,00","Cód.: 54051","R$ 10.844,60","G$ 14.162.000"
"https://www.visaovip.com/produto/notebook/notebook-gamer-gigabyte-aero-x16-1vh93usc64ah-amd-ryzen-ai-7-350-pantalla-qhd--16-32gb-de-ram-1tb-ssd-win11home-geforce-rtx-5060-8gb-gris-ingles/54050","https://www.visaovip.com/imagem/notebook/notebook-gamer-gigabyte-aero-x16-1vh93usc64ah-amd-ryzen-ai-7-350-pantalla-qhd--16-32gb-de-ram-1tb-ssd-win11home-geforce-rtx-5060-8gb-gris-ingles/1/54050?pfdrid_c=true","Notebook Gamer Gigabyte Aero X16 1VH93USC64AH AMD Ryzen AI 7 350 Pantalla QHD+ 16"" / 32GB de RAM / 1TB SSD / Win11Home / GeForce RTX 5060 8GB - Gris (Inglés)","U$ 1.295,00","Cód.: 54050","R$ 7.239,05","G$ 9.453.500"
"https://www.visaovip.com/produto/notebook/notebook-hp-15-fd0684nr-intel-core-5-120u-pantalla-full-hd-15-6-12gb-de-ram-512gb-ssd-win11-plata-ingles/54049","https://www.visaovip.com/imagem/notebook/notebook-hp-15-fd0684nr-intel-core-5-120u-pantalla-full-hd-15-6-12gb-de-ram-512gb-ssd-win11-plata-ingles/1/54049?pfdrid_c=true","Notebook HP 15-FD0684NR Intel Core 5 120U Pantalla Full HD 15.6"" / 12GB de RAM / 512GB SSD / Win11 - Plata (Inglés)","U$ 440,00","Cód.: 54049","R$ 2.459,60","G$ 3.212.000"
"https://www.visaovip.com/produto/notebook/notebook-dell-14-plus-ldb04250-7137blu-pus-intel-core-ultra-7-256v-pantalla-touch-full-hd--14-16gb-de-ram-1tb-ssd-win11home-ice-azul-ingles/54033","https://www.visaovip.com/imagem/notebook/notebook-dell-14-plus-ldb04250-7137blu-pus-intel-core-ultra-7-256v-pantalla-touch-full-hd--14-16gb-de-ram-1tb-ssd-win11home-ice-azul-ingles/1/54033?pfdrid_c=true","Notebook Dell 14 Plus LDB04250-7137BLU-PUS Intel Core Ultra 7 256V Pantalla Touch Full HD+ 14"" / 16GB de RAM / 1TB SSD / Win11Home - Ice Azul (Inglés)","U$ 842,00","Cód.: 54033","R$ 4.706,78","G$ 6.146.600"
"https://www.visaovip.com/produto/notebook/notebook-hp-omnibook-5-flip-14-fp0013dx-intel-core-5-120u-pantalla-touch-2k-14-0-8gb-de-ram-512gb-ssd-win11home-plata-ingles/53966","https://www.visaovip.com/imagem/notebook/notebook-hp-omnibook-5-flip-14-fp0013dx-intel-core-5-120u-pantalla-touch-2k-14-0-8gb-de-ram-512gb-ssd-win11home-plata-ingles/1/53966?pfdrid_c=true","Notebook HP Omnibook 5 Flip 14-FP0013DX Intel Core 5 120U Pantalla Touch 2K 14.0"" / 8GB de RAM / 512GB SSD / Win11Home - Plata (Inglés)","U$ 480,00","Cód.: 53966","R$ 2.683,20","G$ 3.504.000"
"https://www.visaovip.com/produto/notebook/notebook-gamer-msi-thin-15-b13ve-2678us-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4050-6gb-cosmos-gris-ingles/53956","https://www.visaovip.com/imagem/notebook/notebook-gamer-msi-thin-15-b13ve-2678us-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4050-6gb-cosmos-gris-ingles/1/53956?pfdrid_c=true","Notebook Gamer MSI Thin 15 B13VE-2678US Intel Core i7 13620H Pantalla Full HD 15.6"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX4050 6GB - Cosmos Gris (Inglés)","U$ 907,00","Cód.: 53956","R$ 5.070,13","G$ 6.621.100"
