"no-underline href","mb-2 src","p-0","p-0 2","p-0 3","m-0","m-0 2"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-12tb-iron-wolf-pro-3-5-sata-3-7200rpm-st12000nt001-grantia-br/43006/","https://cdn.visaovip.com/img/prod/hd-seagate-12tb-iron-wolf-pro-35-sata-3-7200rpm-st12000nt001-grantia-br/43006/609181.jpg","HD Seagate 12TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST12000NT001 (GRANTIA BR)","HD Interno","SEAGATE","U$ 329,00","43006"
"https://www.visaovip.com/prod/hd-interno/hd-toshiba-4tb-s300-pro-surveillance-3-5-sata-3-7200rpm-hdwta40uzsvar/55864/","https://cdn.visaovip.com/img/prod/hd-toshiba-4tb-s300-pro-surveillance-35-sata-3-7200rpm-hdwta40uzsvar/55864/725508.jpg","HD Toshiba 4TB S300 Pro Surveillance 3.5"" SATA 3 7200RPM - HDWTA40UZSVAR","HD Interno","TOSHIBA","U$ 128,00","55864"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-16tb-skyhawk-ai-surveillance-3-5-sata-3-7200rpm-st16000ve004/56933/","https://cdn.visaovip.com/img/prod/hd-seagate-16tb-skyhawk-ai-surveillance-35-sata-3-7200rpm-st16000ve004/56933/728590.jpg","HD Seagate 16TB SkyHawk AI Surveillance 3.5"" SATA 3 7200RPM - ST16000VE004","HD Interno","SEAGATE","U$ 399,00","56933"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-12tb-skyhawk-ai-surveillance-3-5-sata-3-7200rpm-st12000ve003-garantia-br/56919/","https://www.visaovip.com/sem-imagem.png","HD Seagate 12TB SkyHawk AI Surveillance 3.5"" SATA 3 7200RPM - ST12000VE003 (GARANTIA BR)","HD Interno","SEAGATE","U$ 335,00","56919"
"https://www.visaovip.com/prod/hd-pull/hd-seagate-500gb-barracuda-3-5-sata-2-7200rpm-pull-st3500410as/56488/","https://cdn.visaovip.com/img/prod/hd-seagate-500gb-barracuda-35-sata-2-7200rpm-pull-st3500410as/56488/727713.jpg","HD Seagate 500GB BarraCuda 3.5"" SATA 2 7200RPM Pull - ST3500410AS","HD Pull","SEAGATE","U$ 11,90","56488"
"https://www.visaovip.com/prod/hd-interno/hd-toshiba-4tb-x300-3-5-sata-3-7200rpm-hdwr740xzsta/56350/","https://cdn.visaovip.com/img/prod/hd-toshiba-4tb-x300-35-sata-3-7200rpm-hdwr740xzsta/56350/727362.jpg","HD Toshiba 4TB X300 3.5"" SATA 3 7200RPM - HDWR740XZSTA","HD Interno","TOSHIBA","U$ 128,00","56350"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-8tb-wd-red-plus-nas-3-5-sata-3-5640rpm-wd80efpx/56308/","https://cdn.visaovip.com/img/prod/hd-western-digital-8tb-wd-red-plus-nas-35-sata-3-5640rpm-wd80efpx/56308/727175.jpg","HD Western Digital 8TB WD Red Plus Nas 3.5"" SATA 3 5640RPM - WD80EFPX","HD Interno","WESTERN DIGITAL","U$ 219,00","56308"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-4tb-wd-purple-3-5-sata-3-5400rpm-wd44purz-garantia-br/56251/","https://cdn.visaovip.com/img/prod/hd-western-digital-4tb-wd-purple-35-sata-3-5400rpm-wd44purz-garantia-br/56251/727110.jpg","HD Western Digital 4TB WD Purple 3.5"" SATA 3 5400RPM - WD44PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 135,00","56251"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-14tb-expansion-3-5-stkp14000400-preto-garantia-br/55927/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-14tb-expansion-35-stkp14000400-preto-garantia-br/55927/725666.jpg","HD Externo Seagate 14TB Expansion 3.5"" STKP14000400 - Preto (GARANTIA BR)","HD Externo","SEAGATE","U$ 269,90","55927"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-10tb-wd-red-plus-nas-3-5-sata-3-7200rpm-wd100efgx/55630/","https://cdn.visaovip.com/img/prod/hd-western-digital-10tb-wd-red-plus-nas-35-sata-3-7200rpm-wd100efgx/55630/724569.jpg","HD Western Digital 10TB WD Red Plus Nas 3.5"" SATA 3 7200RPM - WD100EFGX","HD Interno","WESTERN DIGITAL","U$ 265,00","55630"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-12tb-wd-red-plus-nas-3-5-sata-3-7200rpm-wd120efgx/55304/","https://cdn.visaovip.com/img/prod/hd-western-digital-12tb-wd-red-plus-nas-35-sata-3-7200rpm-wd120efgx/55304/727226.jpg","HD Western Digital 12TB WD Red Plus Nas 3.5"" SATA 3 7200RPM - WD120EFGX","HD Interno","WESTERN DIGITAL","U$ 282,00","55304"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-26tb-wd-purple-pro-3-5-sata-3-7200rpm-wd260purp-garantia-br/55249/","https://cdn.visaovip.com/img/prod/hd-western-digital-26tb-wd-purple-pro-35-sata-3-7200rpm-wd260purp-garantia-br/55249/722835.jpg","HD Western Digital 26TB WD Purple Pro 3.5"" SATA 3 7200RPM - WD260PURP (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 629,00","55249"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-2tb-skyhawk-surveillance-3-5-sata-3-5400rpm-st2000vx017-garantia-br/41890/","https://cdn.visaovip.com/img/prod/hd-seagate-2tb-skyhawk-surveillance-35-sata-3-5400rpm-st2000vx017-garantia-br/41890/596681.jpg","HD Seagate 2TB SkyHawk Surveillance 3.5"" SATA 3 5400RPM - ST2000VX017 (GARANTIA BR)","HD Interno","SEAGATE","U$ 72,00","41890"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-28tb-expansion-3-5-stkp28000400-preto-garantia-br/54483/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-28tb-expansion-35-stkp28000400-preto-garantia-br/54483/719723.jpg","HD Externo Seagate 28TB Expansion 3.5"" STKP28000400 - Preto (GARANTIA BR)","HD Externo","SEAGATE","U$ 429,00","54483"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-8tb-wd-purple-surveillance-3-5-sata-3-5640rpm-wd85purz-garantia-br/44351/","https://cdn.visaovip.com/img/prod/hd-western-digital-8tb-wd-purple-surveillance-35-sata-3-5640rpm-wd85purz-garantia-br/44351/624961.jpg","HD Western Digital 8TB WD Purple Surveillance 3.5"" SATA 3 5640RPM - WD85PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 234,00","44351"
"https://www.visaovip.com/prod/hd-interno/hd-sata3-14tb-toshiba-n300-nas-7200rpm-512mb-hdwg51exzsta-garantia-py/53151/","https://cdn.visaovip.com/img/prod/hd-sata3-14tb-toshiba-n300-nas-7200rpm-512mb-hdwg51exzsta-garantia-py/53151/714006.jpg","HD SATA3 14TB TOSHIBA N300 NAS 7200RPM 512MB HDWG51EXZSTA (GARANTIA PY)","HD Interno","TOSHIBA","U$ 280,00","53151"
"https://www.visaovip.com/prod/hd-externo/hd-externo-toshiba-1tb-canvio-basics-2-5-hdtb510xk3aa-preto/40242/","https://cdn.visaovip.com/img/prod/hd-externo-toshiba-1tb-canvio-basics-25-hdtb510xk3aa-preto/40242/581013.jpg","HD Externo Toshiba 1TB Canvio Basics 2.5"" HDTB510XK3AA - Preto","HD Externo","TOSHIBA","U$ 51,00","40242"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-26tb-expansion-3-5-stkp26000400-preto-garantia-br/52715/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-26tb-expansion-35-stkp26000400-preto-garantia-br/52715/712331.jpg","HD Externo Seagate 26TB Expansion 3.5"" STKP26000400 - Preto (GARANTIA BR)","HD Externo","SEAGATE","U$ 345,00","52715"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-16tb-expansion-3-5-stkp16000400-preto-garantia-br/52654/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-16tb-expansion-35-stkp16000400-preto-garantia-br/52654/712087.jpg","HD Externo Seagate 16TB Expansion 3.5"" STKP16000400 - Preto (GARANTIA BR)","HD Externo","SEAGATE","U$ 288,00","52654"
"https://www.visaovip.com/prod/hd-externo/hd-externo-western-digital-14tb-wd-elements-3-5-wdbwlg0140hbk-preto/52352/","https://cdn.visaovip.com/img/prod/hd-externo-western-digital-14tb-wd-elements-35-wdbwlg0140hbk-preto/52352/710686.jpg","HD Externo Western Digital 14TB WD Elements 3.5"" WDBWLG0140HBK - Preto","HD Externo","WESTERN DIGITAL","U$ 222,90","52352"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-1tb-wd-purple-3-5-sata-3-5400rpm-wd11purz-garantia-br/42167/","https://cdn.visaovip.com/img/prod/hd-western-digital-1tb-wd-purple-35-sata-3-5400rpm-wd11purz-garantia-br/42167/599337.jpg","HD Western Digital 1TB WD Purple 3.5"" SATA 3 5400RPM - WD11PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 75,00","42167"
"https://www.visaovip.com/prod/hd-interno/hd-toshiba-4tb-n300-nas-3-5-sata-3-7200rpm-hdwg740xzstc/51566/","https://cdn.visaovip.com/img/prod/hd-toshiba-4tb-n300-nas-35-sata-3-7200rpm-hdwg740xzstc/51566/706518.jpg","HD Toshiba 4TB N300 Nas 3.5"" SATA 3 7200RPM - HDWG740XZSTC","HD Interno","TOSHIBA","U$ 117,00","51566"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-24tb-iron-wolf-pro-3-5-sata-3-7200rpm-st24000nt002-garantia-br/47540/","https://cdn.visaovip.com/img/prod/hd-seagate-24tb-iron-wolf-pro-35-sata-3-7200rpm-st24000nt002-garantia-br/47540/671733.jpg","HD Seagate 24TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST24000NT002 (GARANTIA BR)","HD Interno","SEAGATE","U$ 640,00","47540"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-6tb-skyhawk-3-5-sata-3-5400rpm-st6000vx009-garantia-br/49217/","https://cdn.visaovip.com/img/prod/hd-seagate-6tb-skyhawk-35-sata-3-5400rpm-st6000vx009-garantia-br/49217/693877.jpg","HD Seagate 6TB SkyHawk 3.5"" SATA 3 5400RPM - ST6000VX009 (GARANTIA BR)","HD Interno","SEAGATE","U$ 183,00","49217"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-16tb-exos-x24-enterprise-3-5-sata-3-7200rpm-st16000nm002h-garantia-br/49056/","https://cdn.visaovip.com/img/prod/hd-seagate-16tb-exos-x24-enterprise-35-sata-3-7200rpm-st16000nm002h-garantia-br/49056/690717.jpg","HD Seagate 16TB Exos X24 Enterprise 3.5"" SATA 3 7200RPM - ST16000NM002H (GARANTIA BR)","HD Interno","SEAGATE","U$ 505,00","49056"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-8tb-skyhawk-ai-surveillance-3-5-sata-3-7200rpm-st8000ve001-garantia-br/49039/","https://cdn.visaovip.com/img/prod/hd-seagate-8tb-skyhawk-ai-surveillance-35-sata-3-7200rpm-st8000ve001-garantia-br/49039/690765.jpg","HD Seagate 8TB SkyHawk AI Surveillance 3.5"" SATA 3 7200RPM - ST8000VE001 (GARANTIA BR)","HD Interno","SEAGATE","U$ 231,90","49039"
"https://www.visaovip.com/prod/hd-externo/hd-externo-lacie-2tb-rugged-2-5-stfr2000800-prata/15980/","https://cdn.visaovip.com/img/prod/hd-externo-lacie-2tb-rugged-25-stfr2000800-prata/15980/682513.jpg","HD Externo Lacie 2TB Rugged 2.5"" STFR2000800 - Prata","HD Externo","LACIE","U$ 115,00","15980"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-2tb-game-drive-2-5-stkx2000400-preto/48784/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-2tb-game-drive-25-stkx2000400-preto/48784/688037.jpg","HD Externo Seagate 2TB Game Drive 2.5"" STKX2000400 - Preto","HD Externo","SEAGATE","U$ 95,00","48784"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-6tb-iron-wolf-pro-3-5-sata-3-7200rpm-st6000nt001-garantia-br/48603/","https://cdn.visaovip.com/img/prod/hd-seagate-6tb-iron-wolf-pro-35-sata-3-7200rpm-st6000nt001-garantia-br/48603/686139.jpg","HD Seagate 6TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST6000NT001 (GARANTIA BR)","HD Interno","SEAGATE","U$ 224,00","48603"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-1tb-barracuda-3-5-sata-3-7200rpm-st1000dm014-garantia-br/47621/","https://cdn.visaovip.com/img/prod/hd-seagate-1tb-barracuda-35-sata-3-7200rpm-st1000dm014-garantia-br/47621/672753.jpg","HD Seagate 1TB BarraCuda 3.5"" SATA 3 7200RPM - ST1000DM014 (GARANTIA BR)","HD Interno","SEAGATE","U$ 63,50","47621"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-24tb-expansion-3-5-stkp24000400-preto-garantia-br/45915/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-24tb-expansion-35-stkp24000400-preto-garantia-br/45915/650189.jpg","HD Externo Seagate 24TB Expansion 3.5"" STKP24000400 - Preto (GARANTIA BR)","HD Externo","SEAGATE","U$ 335,00","45915"
"https://www.visaovip.com/prod/hd-interno/hd-toshiba-10tb-n300-nas-3-5-sata-3-7200rpm-hdwg71axzsta/47734/","https://cdn.visaovip.com/img/prod/hd-toshiba-10tb-n300-nas-35-sata-3-7200rpm-hdwg71axzsta/47734/674613.jpg","HD Toshiba 10TB N300 Nas 3.5"" SATA 3 7200RPM - HDWG71AXZSTA","HD Interno","TOSHIBA","U$ 229,00","47734"
"https://www.visaovip.com/prod/hd-interno/hd-toshiba-4tb-n300-pro-nas-3-5-sata-3-7200rpm-hdwg740xzstd/47730/","https://cdn.visaovip.com/img/prod/hd-toshiba-4tb-n300-pro-nas-35-sata-3-7200rpm-hdwg740xzstd/47730/674633.jpg","HD Toshiba 4TB N300 Pro Nas 3.5"" SATA 3 7200RPM - HDWG740XZSTD","HD Interno","TOSHIBA","U$ 138,00","47730"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-1tb-portable-drive-2-5-stgx1000400-preto/45425/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-1tb-portable-drive-25-stgx1000400-preto/45425/643649.jpg","HD Externo Seagate 1TB Portable Drive 2.5"" STGX1000400 - Preto","HD Externo","SEAGATE","U$ 69,90","45425"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-2tb-game-drive-ps5-ps4-2-5-stlv2000101-branco/47219/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-2tb-game-drive-ps5-ps4-25-stlv2000101-branco/47219/666921.jpg","HD Externo Seagate 2TB Game Drive PS5 / PS4 2.5"" STLV2000101 - Branco","HD Externo","SEAGATE","U$ 95,00","47219"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-8tb-wd-purple-pro-3-5-sata-3-7200rpm-wd8002purp-garantia-br/47086/","https://cdn.visaovip.com/img/prod/hd-western-digital-8tb-wd-purple-pro-35-sata-3-7200rpm-wd8002purp-garantia-br/47086/665341.jpg","HD Western Digital 8TB WD Purple Pro 3.5"" SATA 3 7200RPM - WD8002PURP (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 248,00","47086"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-16tb-iron-wolf-pro-3-5-sata-3-7200rpm-st16000nt001-garantia-br/39668/","https://cdn.visaovip.com/img/prod/hd-seagate-16tb-iron-wolf-pro-35-sata-3-7200rpm-st16000nt001-garantia-br/39668/578371.jpg","HD Seagate 16TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST16000NT001 (GARANTIA BR)","HD Interno","SEAGATE","U$ 399,00","39668"
"https://www.visaovip.com/prod/hd-externo/hd-seagate-5tb-portatil-drive-2-5-stgx5000400-preto/45460/","https://cdn.visaovip.com/img/prod/hd-seagate-5tb-portatil-drive-25-stgx5000400-preto/45460/643645.jpg","HD Seagate 5TB Portátil Drive 2.5"" STGX5000400 - Preto","HD Externo","SEAGATE","U$ 132,90","45460"
"https://www.visaovip.com/prod/hd-externo/hd-seagate-4tb-portatil-drive-2-5-stgx4000400-preto/45416/","https://cdn.visaovip.com/img/prod/hd-seagate-4tb-portatil-drive-25-stgx4000400-preto/45416/642869.jpg","HD Seagate 4TB Portátil Drive 2.5"" STGX4000400 - Preto","HD Externo","SEAGATE","U$ 118,00","45416"
"https://www.visaovip.com/prod/hd-externo/hd-seagate-2tb-portatil-drive-2-5-stgx2000400-preto/45415/","https://cdn.visaovip.com/img/prod/hd-seagate-2tb-portatil-drive-25-stgx2000400-preto/45415/642873.jpg","HD Seagate 2TB Portátil Drive 2.5"" STGX2000400 - Preto","HD Externo","SEAGATE","U$ 77,40","45415"
"https://www.visaovip.com/prod/hd-pull/hd-western-digital-2tb-wd-green-3-5-sata-3-7200rpm-pull-wd20eurx/33027/","https://cdn.visaovip.com/img/prod/hd-western-digital-2tb-wd-green-35-sata-3-7200rpm-pull-wd20eurx/33027/556439.jpg","HD Western Digital 2TB WD Green 3.5"" SATA 3 7200RPM Pull - WD20EURX","HD Pull","WESTERN DIGITAL","U$ 48,90","33027"
"https://www.visaovip.com/prod/hd-externo/hd-externo-seagate-500gb-expansion-2-5-stea500400-preto/21072/","https://cdn.visaovip.com/img/prod/hd-externo-seagate-500gb-expansion-25-stea500400-preto/21072/547872.jpg","HD Externo Seagate 500GB Expansion 2.5"" STEA500400 - Preto","HD Externo","SEAGATE","U$ 35,00","21072"
"https://www.visaovip.com/prod/hd-interno/hd-para-notebook-seagate-1tb-barracuda-2-5-sata-3-st1000lm048/21713/","https://cdn.visaovip.com/img/prod/hd-para-notebook-seagate-1tb-barracuda-25-sata-3-st1000lm048/21713/585361.jpg","HD para Notebook Seagate 1TB BarraCuda 2.5"" SATA 3 - ST1000LM048","HD Interno","SEAGATE","U$ 82,00","21713"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-1tb-skyhawk-surveillance-3-5-sata-3-5400rpm-st1000vx013-garantia-br/42631/","https://cdn.visaovip.com/img/prod/hd-seagate-1tb-skyhawk-surveillance-35-sata-3-5400rpm-st1000vx013-garantia-br/42631/603341.jpg","HD Seagate 1TB SkyHawk Surveillance 3.5"" SATA 3 5400RPM - ST1000VX013 (GARANTIA BR)","HD Interno","SEAGATE","U$ 72,00","42631"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-20tb-iron-wolf-pro-3-5-sata-3-7200rpm-st20000nt001-garantia-br/42197/","https://cdn.visaovip.com/img/prod/hd-seagate-20tb-iron-wolf-pro-35-sata-3-7200rpm-st20000nt001-garantia-br/42197/599525.jpg","HD Seagate 20TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST20000NT001 (GARANTIA BR)","HD Interno","SEAGATE","U$ 475,00","42197"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-4tb-skyhawk-3-5-sata-3-5400rpm-st4000vx016-garantia-br/41347/","https://cdn.visaovip.com/img/prod/hd-seagate-4tb-skyhawk-35-sata-3-5400rpm-st4000vx016-garantia-br/41347/591361.jpg","HD Seagate 4TB SkyHawk 3.5"" SATA 3 5400RPM - ST4000VX016 (GARANTIA BR)","HD Interno","SEAGATE","U$ 129,00","41347"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-2tb-wd-red-plus-3-5-sata-2-5400rpm-wd20efpx-garantia-br/40781/","https://cdn.visaovip.com/img/prod/hd-western-digital-2tb-wd-red-plus-35-sata-2-5400rpm-wd20efpx-garantia-br/40781/584281.jpg","HD Western Digital 2TB WD Red Plus 3.5"" SATA 2 5400RPM - WD20EFPX (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 92,00","40781"
"https://www.visaovip.com/prod/hd-externo/hd-externo-western-digital-4tb-wd-elements-2-5-wdbu6y0040bbk-wesn-preto/40678/","https://cdn.visaovip.com/img/prod/hd-externo-western-digital-4tb-wd-elements-25-wdbu6y0040bbk-wesn-preto/40678/583245.jpg","HD Externo Western Digital 4TB WD Elements 2.5"" WDBU6Y0040BBK-WESN - Preto","HD Externo","WESTERN DIGITAL","U$ 124,00","40678"
"https://www.visaovip.com/prod/hd-externo/hd-externo-toshiba-4tb-canvio-basics-2-5-hdtb540xk3ca-preto/40244/","https://cdn.visaovip.com/img/prod/hd-externo-toshiba-4tb-canvio-basics-25-hdtb540xk3ca-preto/40244/581017.jpg","HD Externo Toshiba 4TB Canvio Basics 2.5"" HDTB540XK3CA - Preto","HD Externo","TOSHIBA","U$ 116,90","40244"
"https://www.visaovip.com/prod/hd-externo/hd-externo-toshiba-2tb-canvio-basics-2-5-hdtb520xk3aa-preto/40243/","https://cdn.visaovip.com/img/prod/hd-externo-toshiba-2tb-canvio-basics-25-hdtb520xk3aa-preto/40243/581009.jpg","HD Externo Toshiba 2TB Canvio Basics 2.5"" HDTB520XK3AA - Preto","HD Externo","TOSHIBA","U$ 72,90","40243"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-3tb-wd-purple-3-5-sata-3-5400rpm-wd33purz-garantia-br/40223/","https://cdn.visaovip.com/img/prod/hd-western-digital-3tb-wd-purple-35-sata-3-5400rpm-wd33purz-garantia-br/40223/580893.jpg","HD Western Digital 3TB WD Purple 3.5"" SATA 3 5400RPM - WD33PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 125,00","40223"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-2tb-wd-purple-3-5-sata-3-5400rpm-wd23purz-garantia-br/39666/","https://cdn.visaovip.com/img/prod/hd-western-digital-2tb-wd-purple-35-sata-3-5400rpm-wd23purz-garantia-br/39666/578375.jpg","HD Western Digital 2TB WD Purple 3.5"" SATA 3 5400RPM - WD23PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 79,00","39666"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-6tb-wd-purple-3-5-sata-3-5400rpm-wd64purz-garantia-br/39609/","https://cdn.visaovip.com/img/prod/hd-western-digital-6tb-wd-purple-35-sata-3-5400rpm-wd64purz-garantia-br/39609/578039.jpg","HD Western Digital 6TB WD Purple 3.5"" SATA 3 5400RPM - WD64PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 185,90","39609"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-4tb-wd-purple-3-5-sata-3-5400rpm-wd43purz-garantia-br/39440/","https://cdn.visaovip.com/img/prod/hd-western-digital-4tb-wd-purple-35-sata-3-5400rpm-wd43purz-garantia-br/39440/577505.jpg","HD Western Digital 4TB WD Purple 3.5"" SATA 3 5400RPM - WD43PURZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 135,00","39440"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-6tb-wd-red-plus-3-5-sata-3-5400rpm-wd60efpx-garantia-br/38322/","https://cdn.visaovip.com/img/prod/hd-western-digital-6tb-wd-red-plus-35-sata-3-5400rpm-wd60efpx-garantia-br/38322/572499.jpg","HD Western Digital 6TB WD Red Plus 3.5"" SATA 3 5400RPM - WD60EFPX (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 187,00","38322"
